ticker,company,sector
VRSN,"VeriSign, Inc.",Technology
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare
VTR,"Ventas, Inc.",Financial
VZ,Verizon Communications Inc.,Technology
WAG,nomatch,Misc
WAT,Waters Corporation,Healthcare
WB,Weibo Corporation,Technology
WBA,"Walgreens Boots Alliance, Inc.",Services
WDC,Western Digital Corporation,Technology
WDR,"Waddell & Reed Financial, Inc.",Financial
WEC,"WEC Energy Group, Inc.",Utilities
HCN,nomatch,Misc
WEN,The Wendy's Company,Services
WFC,Wells Fargo & Company,Financial
WFMI,nomatch,Misc
WFT,nomatch,Misc
WHR,Whirlpool Corporation,Consumer Goods
WINA,Winmark Corporation,Services
WIN,"Windstream Holdings, Inc.",Technology
WLTW,Willis Towers Watson Public Limited Company,Financial
WM,"Waste Management, Inc.",Industrial Goods
WM,"Waste Management, Inc.",Industrial Goods
WM,"Waste Management, Inc.",Industrial Goods
WM,"Waste Management, Inc.",Industrial Goods
WMB,"The Williams Companies, Inc.",Basic Materials
WMT,Walmart Inc.,Services
WPX,"WPX Energy, Inc.",Basic Materials
WRK,WestRock Company,Consumer Goods
WU,The Western Union Company,Financial
WWY,nomatch,Misc
WY,Weyerhaeuser Company,Industrial Goods
WYE,nomatch,Misc
WYN,nomatch,Misc
WYNN,"Wynn Resorts, Limited",Services
X,United States Steel Corporation,Basic Materials
XEC,Cimarex Energy Co.,Basic Materials
XEL,Xcel Energy Inc.,Utilities
XL,nomatch,Misc
XLNX,"Xilinx, Inc.",Technology
XOM,Exxon Mobil Corporation,Basic Materials
XRAY,DENTSPLY SIRONA Inc.,Healthcare
XRX,Xerox Holdings Corporation,Technology
XTO,nomatch,Misc
XYL,Xylem Inc.,Industrial Goods
YHOO,nomatch,Misc
YUM,"YUM! Brands, Inc.",Services
ZMH,nomatch,Misc
ZION,"Zions Bancorporation, National Association",Financial
ZTS,Zoetis Inc.,Healthcare
